Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
12:00 am,4%,1%,1%,3%,2%,2%,5%
1:00 am,0%,0%,0%,0%,0%,0%,1%
2:00 am,0%,0%,0%,0%,0%,0%,0%
3:00 am,0%,0%,0%,0%,0%,0%,0%
4:00 am,0%,0%,0%,0%,0%,0%,0%
5:00 am,1%,3%,4%,3%,3%,3%,3%
6:00 am,9%,19%,19%,19%,19%,19%,12%
7:00 am,11%,38%,39%,38%,37%,36%,15%
8:00 am,11%,42%,41%,42%,40%,37%,20%
9:00 am,15%,33%,33%,34%,33%,32%,23%
10:00 am,15%,26%,27%,34%,28%,32%,27%
11:00 am,20%,25%,26%,27%,28%,28%,32%
12:00 pm,21%,25%,26%,27%,28%,30%,32%
1:00 pm,20%,27%,28%,28%,29%,30%,31%
2:00 pm,19%,28%,29%,29%,30%,32%,30%
3:00 pm,19%,28%,28%,28%,30%,31%,29%
4:00 pm,19%,29%,28%,28%,29%,31%,28%
5:00 pm,20%,37%,37%,37%,37%,42%,29%
6:00 pm,19%,46%,46%,47%,47%,53%,30%
7:00 pm,19%,33%,33%,34%,34%,40%,27%
8:00 pm,18%,21%,21%,22%,22%,25%,22%
9:00 pm,15%,16%,17%,18%,18%,21%,20%
10:00 pm,11%,12%,12%,13%,14%,19%,17%
11:00 pm,5%,6%,6%,7%,8%,11%,10%
